na,abbabis,30,-23.9666667,16.0833333
na,abenab,39,-19.2833333,18.0833333
na,academia,40,-22.6102778,17.0672222
na,achab,40,-23.9666667,16.2833333
na,affenrucken,31,-28.0833333,15.8166667
na,ai-ais,31,-27.9166667,17.4833333
na,aida,40,-22.8666667,18.0
na,ais,31,-28.1833333,19.5166667
na,akutsima,36,-18.1166667,14.8
na,akweenyanga,37,-17.85,15.7833333
na,alt duwisib,30,-25.25,16.5166667
na,alt-seeis,40,-22.5,17.6833333
na,aluriesfontein,31,-28.5333333,18.7
na,amaadhala,36,-17.8833333,15.4166667
na,amakange,32,-18.1,14.3333333
na,amarika,36,-18.35,15.1833333
na,amasbank,29,-21.1166667,15.0666667
na,ambende,38,-18.3166667,16.2833333
na,amilema,38,-18.3833333,16.2666667
na,aminuis,35,-23.6333333,19.3666667
na,amukulungundju,38,-18.3166667,16.3666667
na,amutanga,37,-17.7,15.6833333
na,amuteya,38,-18.0,16.3666667
na,amwaanda,36,-18.0,15.0333333
na,amweepele,37,-18.0666667,15.9166667
na,anabib,32,-18.1833333,12.5166667
na,anamulenge,36,-17.4833333,15.0166667
na,andara,28,-18.0666667,21.45
na,angra-juntas,31,-27.65,15.55
na,anichab,29,-23.35,14.5166667
na,anixab,32,-20.9333333,14.85
na,anker,39,-18.9166667,18.9833333
na,antheap milepost,32,-18.8333333,16.8
na,arabia,37,-17.9666667,15.9666667
na,arandis,29,-22.4166667,14.9666667
na,aranos,30,-24.1333333,19.1166667
na,araob,31,-26.8,19.65
na,arbeidsgenot,40,-22.6833333,16.65
na,arbeidsloon,39,-18.95,18.9
na,ariamab,31,-27.2833333,17.4666667
na,ariamsvlei,31,-28.1166667,19.8166667
na,aris,40,-22.75,17.1333333
na,arixa ams,29,-21.1833333,14.7833333
na,arizona,40,-23.2,16.0333333
na,aroams,35,-23.05,19.5333333
na,aroams oos,35,-23.05,19.65
na,arona,32,-18.4166667,14.5166667
na,asikuli,28,-17.5166667,24.7
na,aub,30,-22.9333333,17.1833333
na,aubinhonis,29,-21.4166667,15.1333333
na,augustinium,40,-22.5413889,17.0466667
na,auputz,31,-28.25,18.0833333
na,aurus,31,-26.1166667,14.9833333
na,aus,31,-26.6666667,16.2666667
na,austerlitz,31,-28.2833333,19.25
na,avis,40,-22.5791667,17.1197222
na,bagani,28,-18.1166667,21.6333333
na,bam se pos,32,-20.3,15.0333333
na,beenbreek,31,-28.7,19.4166667
na,behr,40,-22.6833333,17.1166667
na,berghof,40,-23.35,16.0
na,bergquell,39,-22.1,16.9833333
na,bergveld,40,-22.9833333,16.5
na,berseba,31,-25.9833333,17.7833333
na,bethal,29,-22.5666667,15.8666667
na,bethanie,31,-26.4833333,17.15
na,bethlehem,40,-22.7666667,17.3
na,binsenheim,40,-22.7833333,17.3833333
na,birkenfels,29,-22.6333333,14.7333333
na,biro,28,-17.9833333,21.3166667
na,blau,31,-26.1333333,18.2666667
na,blignaut,35,-21.0333333,18.5333333
na,blokwater,30,-23.9333333,17.5333333
na,bloukrans,30,-22.95,17.5
na,blouputz,40,-22.8833333,16.5166667
na,blydeverwacht,31,-28.3,19.6
na,bodenhausen,40,-22.3333333,17.6166667
na,bokiesbank,31,-28.3333333,19.3333333
na,bonna,40,-23.15,16.1166667
na,boomplaas,39,-18.9333333,18.4333333
na,brack,40,-22.7833333,17.4666667
na,brigadoon,40,-22.9833333,16.8666667
na,bruinheuvel,31,-28.4666667,18.1666667
na,buchani,28,-17.85,24.2333333
na,buitepos,35,-22.2666667,19.9833333
na,bukalo,28,-17.7166667,24.5166667
na,bulhoek,39,-18.8,18.4666667
na,bulskop,39,-22.0,17.1
na,butjana,28,-17.85,24.3666667
na,bwabwata,28,-17.8,22.5666667
na,cambells aub,30,-23.8166667,16.7666667
na,cape cross,29,-21.7666667,13.9666667
na,catjo,28,-18.1,21.6
na,chaibis,40,-23.1833333,16.2
na,chaka,28,-17.8833333,24.4
na,cha-re,40,-23.6166667,15.8666667
na,charley,28,-17.8666667,24.4
na,charliesputs,31,-28.0833333,19.6833333
na,chausib,40,-23.2833333,16.1
na,chefuzwe,28,-17.5666667,24.2666667
na,chengere,28,-17.7333333,23.85
na,chinchimane,28,-17.9666667,24.1166667
na,chrisjansputs,31,-28.0833333,18.2666667
na,claratal,40,-22.8,16.8333333
na,coas,40,-22.85,17.5833333
na,coblenz,39,-20.1,18.1666667
na,constantia,40,-23.9166667,15.9166667
na,corona,40,-23.3833333,16.15
na,cowenga,28,-18.1,21.6166667
na,cuma,34,-18.1333333,20.8833333
na,cuseva,34,-17.8333333,18.5166667
na,cwa,34,-18.1333333,20.9666667
na,dabegabis,31,-28.2666667,18.6166667
na,dagbreek,40,-23.4833333,15.9166667
na,dakwa,34,-17.7166667,18.1666667
na,dancence,34,-18.3166667,20.6166667
na,davignab,31,-27.5333333,19.8166667
na,daweb,29,-21.0,14.8833333
na,denarius,39,-18.85,19.0333333
na,deo-volente,39,-18.9,18.9166667
na,derm,30,-23.65,18.2
na,desi,34,-17.9833333,18.7833333
na,de start,39,-18.9666667,19.1
na,devillers putz,31,-28.0833333,19.1833333
na,die end,39,-18.8833333,18.8
na,die park,39,-18.8666667,18.35
na,diepkuil,40,-23.05,16.1333333
na,diepputz,40,-22.9833333,16.6166667
na,dikundhu,28,-18.2333333,21.5166667
na,dipito,28,-18.2333333,23.55
na,direlis,40,-22.75,17.3166667
na,diyogha,28,-18.0833333,21.4666667
na,djadjasa,34,-18.2333333,20.8333333
na,dobegabis,31,-28.3,18.7
na,dobra,40,-22.3333333,17.1
na,dongo,28,-18.0833333,21.55
na,donkerhoek,40,-23.6333333,15.9666667
na,donkersan,40,-23.05,15.9833333
na,dordabis,40,-22.95,17.6
na,dornbaum,40,-22.75,17.3
na,dosa,34,-18.2166667,20.85
na,douglas,29,-22.6333333,14.6666667
na,draaihoek,31,-28.1,18.6
na,drei kameelbaum,31,-28.15,19.0833333
na,driehoek,38,-18.8166667,18.0833333
na,driemaal,39,-18.8666667,18.2
na,drimiopsis,35,-22.0833333,19.05
na,dudu,34,-17.8666667,19.3333333
na,duinekraal,39,-18.95,18.5333333
na,dumsis,34,-18.4,18.1333333
na,dumushe,34,-18.2333333,20.8666667
na,dusternbrook,39,-22.2666667,16.9
na,duurdrift,31,-28.35,19.3666667
na,duwib,39,-18.9,18.2
na,ebeneser,34,-17.8666667,19.5666667
na,ebenhaezer,29,-22.6333333,14.65
na,edilanghono,38,-17.75,16.9833333
na,edoseb,29,-23.2666667,14.75
na,edundja,33,-17.4166667,16.0
na,eehama,36,-17.3833333,15.0166667
na,eembidi,33,-17.5,16.0
na,eenana,33,-17.4666667,16.3333333
na,eendobe,33,-17.2166667,17.4333333
na,eendombe,36,-17.7,15.0666667
na,eengolo,36,-17.6,15.0833333
na,eenkombo,33,-17.7,17.2
na,eeshowa,33,-17.45,17.0666667
na,efinde,33,-17.45,16.9833333
na,efululula,33,-17.5666667,15.8166667
na,ehafo,33,-17.4833333,16.05
na,ehafo,34,-18.0166667,18.9833333
na,ehangano,37,-17.7833333,15.6166667
na,eheke,36,-17.8333333,14.8666667
na,eholongo,36,-18.3333333,15.0166667
na,ehomba,32,-17.4833333,13.8166667
na,ehongo,38,-17.7833333,16.5333333
na,eirup,30,-24.2166667,18.4
na,eisgaubib,40,-23.0166667,16.35
na,ekamba,36,-17.7833333,15.55
na,ekambo,32,-17.9666667,12.9333333
na,ekango,32,-18.65,14.25
na,ekangolomuve,33,-17.55,17.3166667
na,ekapashna,33,-17.4333333,16.6166667
na,ekoka,33,-17.6833333,17.4
na,ekokalinini,33,-17.65,17.4
na,ekoko,38,-17.7666667,17.0333333
na,ekuli,34,-17.8166667,18.7166667
na,ekwenye,39,-20.95,18.35
na,ekwili,36,-18.05,15.15
na,elakalapwa,33,-17.4,15.7
na,elalangali,36,-17.6,15.4166667
na,elandspan,39,-19.95,18.55
na,elao,33,-17.5333333,15.65
na,elim,36,-17.7166667,15.4833333
na,elim,40,-23.8666667,15.8333333
na,elisenheim,40,-22.5152778,17.0808333
na,elizabeth bay,31,-26.9161111,15.1838889
na,elizenhohe,40,-22.8166667,17.5333333
na,elombe,33,-17.7666667,16.2166667
na,elondo,36,-17.7166667,15.0166667
na,emanya,33,-17.4,17.0
na,embwende,32,-17.65,12.8
na,emeritus,29,-23.0,15.7166667
na,emmanuel,39,-18.9833333,18.1833333
na,emonso,37,-17.7333333,15.65
na,endola,33,-17.6,15.7166667
na,engela,33,-17.4333333,15.8666667
na,enghandja,33,-17.55,16.0166667
na,enkundi,36,-17.5833333,15.4
na,enoch,31,-25.8333333,18.35
na,enoleu,36,-17.5166667,15.55
na,enongo,36,-17.9166667,15.2333333
na,enyana,33,-17.5833333,17.4
na,eorondemba,40,-22.2333333,17.6
na,epako,35,-22.4333333,18.9833333
na,epalalalinini,33,-17.4666667,17.0833333
na,epangwe,33,-17.55,17.2333333
na,epasha,33,-17.4666667,16.6166667
na,epata,35,-21.05,18.8666667
na,epato,36,-17.8666667,15.1833333
na,epeke,38,-18.1833333,16.2166667
na,epembe,33,-17.7666667,16.2
na,epinga,33,-17.4166667,16.4166667
na,epoko,36,-17.4666667,15.2
na,epopo,39,-20.6,15.6333333
na,epukiro,35,-21.7,19.1166667
na,epuku,33,-17.55,15.75
na,epumbu,38,-18.2166667,16.1
na,epyalyiipundu,37,-17.7166667,15.9333333
na,erakarombi,39,-20.3,17.9666667
na,erindinoukambe,35,-21.1166667,19.1166667
na,eros,40,-22.5475,17.0977778
na,erospark,40,-22.5413889,17.0975
na,esati,37,-18.0166667,15.7833333
na,eselsruhe,31,-28.75,18.8666667
na,eshakeno,33,-17.5833333,17.1166667
na,esheshete,36,-18.0666667,15.3333333
na,esheshete,38,-18.1,16.1
na,eshosho,33,-17.6666667,16.8666667
na,etakaya,33,-17.65,16.8166667
na,etale,33,-17.5333333,15.95
